h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
8.813723e-01	7.013189e-01	7.146120e-01	2.288157e-01	2.829108e-02	42	
1.959585e-01	1.238168e-01	4.744573e-01	1.782960e-01	2.006042e-02	39	
6.071101e-01	3.365363e-01	3.856844e-01	1.042532e-01	3.977320e-02	56	
4.645770e-01	3.740711e-01	2.129651e-01	2.611790e-02	2.534297e-02	34	
5.586367e-02	3.762736e-02	3.802085e-01	3.981675e-02	2.839224e-02	28	
8.173070e-01	4.599160e-01	8.839295e-01	4.327064e-01	4.875704e-02	51	
1.836285e-01	9.036793e-02	4.184182e-01	1.953191e-01	6.059601e-02	57	
1.476855e-01	5.925178e-02	5.976961e-01	1.417049e-01	4.955187e-02	69	
4.757816e-02	2.270795e-02	6.735748e-01	2.152033e-01	5.428951e-02	67	
1.566683e-01	6.204211e-02	4.097172e-01	1.072315e-01	5.219508e-02	66	
3.854906e-01	2.352659e-01	5.066452e-01	9.161956e-02	3.941646e-02	60	
4.882898e-01	3.959246e-01	3.123721e-01	9.065317e-02	2.981085e-02	42	
3.502125e-02	2.029718e-02	4.349462e-01	1.934607e-01	2.217407e-02	33	
2.578719e-02	7.246000e-03	8.515667e-01	4.715781e-01	2.434352e-02	32	
5.479695e-01	2.685836e-01	7.621046e-01	2.380419e-01	1.353867e-02	21	
7.316690e-02	2.178894e-02	7.455519e-01	2.196303e-01	1.781294e-02	27	
3.596618e-01	2.528790e-01	2.432630e-01	3.416993e-02	3.141005e-02	32	
5.741497e-02	2.186219e-02	8.028976e-01	3.888534e-01	2.200963e-02	29	
3.712883e-01	3.417645e-01	7.001828e-02	3.482609e-03	1.737413e-02	26	
4.090857e-03	3.766898e-03	3.521470e-01	7.682137e-02	1.749723e-02	25	
7.605072e-01	2.896943e-01	9.393987e-01	6.022623e-01	2.584858e-02	37	
8.925127e-02	5.018101e-02	2.975586e-01	1.932859e-01	1.912190e-02	20	
1.891697e-01	3.613211e-02	9.182965e-01	7.116917e-01	2.479513e-02	34	
4.672303e-01	2.344885e-01	6.696960e-01	1.584996e-01	2.053920e-02	18	
6.222872e-01	3.888716e-01	7.537029e-01	3.608613e-01	1.639960e-02	26	
5.060929e-01	4.193831e-01	1.796790e-01	3.032024e-02	1.827590e-02	16	
5.935631e-01	3.904994e-01	5.275983e-01	1.135387e-01	1.905753e-02	20	
9.326989e-01	8.926316e-01	2.633193e-01	3.412181e-02	2.524118e-02	32	
9.186039e-01	6.945363e-01	9.354582e-01	7.337884e-01	4.315643e-02	63	
1.547773e-01	9.543866e-02	6.050597e-01	1.419687e-01	4.921166e-02	63	
7.588038e-02	6.091065e-02	9.788252e-02	1.158637e-02	5.265592e-02	58	
1.658081e-01	8.330066e-02	4.158871e-01	1.304504e-01	6.487725e-02	80	
1.584770e-01	3.923818e-02	7.725278e-01	2.315422e-01	9.235589e-02	89	
2.446264e-01	1.814088e-01	8.823381e-02	1.416695e-02	6.719606e-02	83	
1.451981e-01	8.414363e-02	5.309196e-01	1.595102e-01	6.695251e-02	88	
3.249149e-02	3.304367e-02	3.262323e-01	2.251236e-02	6.371597e-02	92	
2.518059e-02	1.214134e-02	5.168837e-01	1.272663e-01	6.186819e-02	77	
2.424815e-01	4.293438e-02	9.338349e-01	6.962152e-01	4.224439e-02	65	
2.030264e-01	1.113206e-01	3.949713e-04	5.076117e-05	5.912195e-02	68	
2.278362e-01	1.573005e-01	4.533099e-01	1.738441e-01	5.267139e-02	63	
6.740251e-01	3.189842e-01	7.730885e-01	2.074106e-01	5.924354e-02	71	
3.882424e-02	2.250102e-02	1.579932e-01	1.892495e-02	6.607327e-02	82	
2.560959e-01	8.300685e-02	9.111227e-01	6.588814e-01	9.255045e-02	100	
3.724456e-01	2.087503e-01	3.656003e-01	1.091496e-01	7.620110e-02	105	
1.451183e-01	9.493332e-02	3.607722e-01	1.328221e-01	6.102456e-02	88	
1.103074e-01	7.035119e-02	4.157312e-01	5.355139e-02	7.600411e-02	101	
2.500811e-01	8.248190e-02	7.841538e-01	3.844801e-01	8.345266e-02	114	
3.926178e-01	1.666301e-01	6.145206e-01	2.163805e-01	8.844228e-02	111	
4.911952e-01	2.778245e-01	7.722675e-01	4.729971e-01	7.902671e-02	110	
1.871545e-01	1.144366e-01	5.041852e-01	8.096994e-02	8.181777e-02	115	
3.547098e-02	2.331606e-02	5.244486e-01	2.304682e-01	8.418600e-02	102	
7.945505e-02	3.570443e-02	6.799284e-01	3.062297e-01	9.058333e-02	110	
1.852713e-01	6.792079e-02	6.791988e-01	3.188978e-01	9.073850e-02	119	
2.446062e-02	1.505172e-02	5.116658e-01	2.416517e-01	8.325067e-02	120	
8.478615e-02	1.404465e-02	9.277266e-01	6.129097e-01	1.128513e-01	131	
1.243247e-01	5.775237e-02	5.827865e-01	1.332054e-01	8.696832e-02	119	
4.115565e-01	9.730777e-02	9.333434e-01	7.123239e-01	9.885010e-02	118	
4.218514e-01	1.683741e-01	5.917393e-01	1.782977e-01	9.303502e-02	121	
1.797149e-01	1.559948e-01	4.010405e-01	5.030670e-02	9.838634e-02	112	
3.268495e-03	2.293953e-03	5.482624e-01	1.854483e-01	7.758774e-02	113	
1.472559e-01	6.542148e-02	6.517638e-01	1.936097e-01	7.743515e-02	104	
4.376376e-01	3.258325e-01	3.411449e-01	3.641866e-02	6.951410e-02	94	
2.111431e-01	1.408241e-01	1.734548e-01	9.065532e-02	6.487819e-02	84	
5.765455e-01	4.394228e-01	4.806637e-01	1.791401e-01	7.081413e-02	77	
4.843094e-01	4.857862e-01	3.657218e-01	1.612915e-01	5.472309e-02	79	
4.164555e-01	2.397745e-01	5.788034e-01	2.042408e-01	6.868107e-02	96	
1.001941e-01	6.804566e-02	4.817921e-01	4.264445e-02	7.854438e-02	103	
1.389573e-02	8.636526e-03	2.886619e-01	9.826800e-02	9.303498e-02	132	
1.182621e-01	1.106552e-01	2.095588e-01	1.325302e-01	9.158052e-02	113	
1.081288e-01	1.015100e-01	2.592859e-01	1.691267e-01	7.448151e-02	120	
7.313974e-01	4.898244e-01	5.999868e-01	2.785918e-01	7.991077e-02	97	
5.678865e-02	4.750121e-02	4.139769e-01	1.901235e-01	8.256311e-02	98	
2.855862e-03	1.744117e-03	5.907354e-01	3.532802e-01	8.549407e-02	105	
5.499300e-01	1.811059e-01	9.421431e-01	6.299150e-01	7.898365e-02	101	
4.460370e-01	2.317549e-01	8.133946e-01	3.617770e-01	7.371771e-02	102	
6.563601e-02	4.278356e-02	5.343499e-02	2.811753e-02	4.639118e-02	60	
1.906986e-02	8.214602e-03	4.200602e-01	6.559626e-02	4.086296e-02	45	
2.239217e-01	1.551418e-01	2.420616e-01	6.096718e-02	2.747680e-02	27	
7.586261e-02	3.071248e-02	6.498197e-01	1.235760e-01	3.319232e-02	42	
9.408219e-02	7.023831e-02	4.063734e-01	6.660984e-02	3.522963e-02	47	
6.864297e-01	2.948846e-01	9.207985e-01	7.277179e-01	1.912394e-02	26	
1.290020e-01	4.126100e-02	9.787062e-01	9.307568e-01	1.745342e-02	23	
6.602510e-02	8.558436e-03	9.370282e-01	4.527346e-01	2.751537e-02	31	
1.893526e-01	1.142829e-01	5.644174e-01	3.218116e-01	3.513518e-02	59	
3.780911e-01	2.891551e-01	5.149552e-01	1.343931e-01	3.422448e-02	48	
3.773682e-02	5.952740e-03	9.386185e-01	7.007776e-01	4.330523e-02	47	
3.450815e-01	1.622563e-01	8.349600e-01	5.728718e-02	4.021155e-02	34	
4.761068e-01	3.122174e-01	4.252238e-01	9.075536e-02	4.915339e-02	46	
2.783530e-01	1.666275e-01	5.460587e-01	1.279108e-01	4.193192e-02	46	
1.939931e-01	6.339775e-02	8.231717e-01	3.101204e-01	4.415602e-02	55	
2.316611e-01	4.568330e-02	9.588258e-01	6.877860e-01	4.007947e-02	53	
9.952746e-02	7.703183e-02	6.934563e-02	9.539690e-03	3.881469e-02	55	
4.410440e-01	2.577121e-01	3.100642e-01	1.026866e-01	4.736469e-02	49	
1.052821e-01	1.052636e-01	7.502320e-02	4.839090e-03	4.274486e-02	51	
4.469652e-01	1.905280e-01	5.047433e-01	1.918150e-01	4.305399e-02	60	
4.233311e-02	1.042754e-02	8.153984e-01	2.449057e-01	5.541426e-02	65	
1.144000e-01	8.217426e-02	9.901637e-02	2.742557e-02	3.580758e-02	54	
3.483542e-01	2.698059e-01	7.742277e-01	5.004999e-01	3.206843e-02	49	
2.245744e-01	1.975467e-01	2.558962e-01	3.909876e-02	3.710991e-02	50	
3.440834e-01	2.996579e-01	1.219038e-01	5.434125e-02	4.547091e-02	57	
2.694881e-02	2.108488e-02	4.237780e-02	5.360774e-03	5.090300e-02	59	
4.521737e-01	2.978987e-01	6.064715e-01	1.219210e-01	4.650190e-02	46	
4.624840e-01	2.871142e-01	2.633232e-01	1.509670e-01	3.133140e-02	50	
1.515857e-01	3.821115e-02	8.593435e-01	5.171732e-01	3.551475e-02	51	
5.199880e-01	4.208145e-01	5.284142e-01	3.407623e-01	3.962219e-02	58	
1.331298e-01	5.974303e-02	6.929283e-01	3.055572e-01	2.717149e-02	38	
3.104668e-02	1.010349e-02	7.392712e-01	3.182354e-01	2.878306e-02	42	
4.057014e-01	2.879690e-01	3.450463e-01	5.556636e-02	3.108991e-02	32	
3.706246e-01	3.085781e-01	8.181655e-02	3.222415e-02	2.126850e-02	20	
7.088790e-01	5.127489e-01	4.255520e-01	1.025230e-01	1.741478e-02	18	
