h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
2.135520e-01	6.527019e-02	7.928100e-01	4.442619e-01	1.023749e-01	140	
1.096742e-01	3.752983e-02	7.107879e-01	4.651419e-01	1.066066e-01	123	
3.161151e-01	1.951494e-01	6.336510e-01	2.196979e-01	9.771121e-02	128	
2.697402e-01	6.319551e-02	7.093638e-01	2.653612e-01	9.440083e-02	105	
9.400959e-02	7.750807e-02	1.723760e-01	8.303516e-02	9.403364e-02	130	
4.225113e-02	3.893733e-02	1.391202e-02	1.534118e-03	1.056752e-01	137	
1.799607e-02	1.085325e-02	8.741924e-02	3.563456e-02	1.186212e-01	150	
1.935770e-01	1.429111e-01	2.338164e-01	4.176344e-02	1.117707e-01	136	
1.092266e-01	5.313286e-02	5.510167e-01	1.185741e-01	1.496205e-01	145	
5.818159e-02	2.150820e-02	3.848276e-01	1.792122e-01	8.360323e-02	126	
4.389369e-01	8.983524e-02	9.665471e-01	8.241467e-01	1.008530e-01	129	
1.738683e-02	1.341940e-02	1.967741e-01	6.634524e-02	1.048453e-01	135	
6.712769e-01	3.564857e-01	8.099010e-01	4.287799e-01	8.839881e-02	118	
8.003951e-01	5.960286e-01	5.317231e-01	1.772503e-01	9.673277e-02	114	
2.986011e-01	1.203613e-01	5.255927e-01	2.331206e-01	8.641691e-02	108	
1.719768e-02	1.584383e-02	1.286280e-01	2.975055e-02	9.082039e-02	112	
4.482640e-02	2.731783e-02	5.094337e-01	1.042279e-01	9.284854e-02	123	
7.639962e-01	6.299737e-01	4.715351e-01	1.757608e-01	9.105349e-02	138	
5.021209e-01	2.514850e-01	8.587279e-01	5.361766e-01	1.033657e-01	128	
1.624544e-01	6.721512e-02	7.638721e-01	2.979787e-01	1.063051e-01	138	
8.561791e-01	7.699107e-01	1.466416e-01	2.005090e-02	1.169480e-01	129	
2.103949e-01	2.178297e-01	1.024241e-01	1.202503e-02	1.199673e-01	139	
2.802172e-01	1.415510e-01	8.375191e-01	4.318804e-01	1.168991e-01	136	
5.685832e-01	1.661278e-01	9.600237e-01	7.912469e-01	9.150644e-02	122	
5.121531e-01	2.249890e-01	8.018736e-01	3.968875e-01	8.365265e-02	108	
4.599325e-02	9.633058e-03	9.521584e-01	8.003791e-01	8.520849e-02	114	
2.943979e-02	1.055926e-02	9.124497e-01	8.419565e-01	1.024435e-01	115	
8.600321e-01	6.713398e-01	6.824738e-01	1.806534e-01	9.432624e-02	131	
1.048163e-01	7.172547e-02	5.531449e-01	9.637128e-02	1.046902e-01	130	
2.488878e-01	9.988220e-02	6.292373e-01	1.378197e-01	7.958983e-02	119	
6.497088e-02	1.711084e-02	7.253847e-01	4.984793e-01	7.226068e-02	110	
2.176967e-01	1.660126e-01	2.824966e-01	4.858222e-02	6.410950e-02	102	
3.078409e-01	2.979239e-01	7.807047e-02	8.117117e-03	7.510834e-02	110	
1.320742e-01	7.285241e-02	4.373426e-01	7.563908e-02	7.905306e-02	104	
1.647799e-01	8.008635e-02	6.159865e-01	1.263967e-01	7.939834e-02	114	
2.947472e-01	4.657038e-02	9.407964e-01	7.231607e-01	7.854073e-02	104	
